 ---------------
 Executive Outcomes's Price list
 ---------------
 Supply kit:                         30 SON (3 in stock) (max +19)
 Energy cell:                       150 SON              (max +1)
 Repair kit:                        150 SON              (max +19)
 Stim (Drug):                       180 SON              (max +19)
 Hybernation (Drug):                340 SON              (max +19)
 Medicare (Drug):                   355 SON (1 in stock) (max +14)
 Antibiotics (Drug):                180 SON              (max +1)
 Antitoxin, radiation (Drug):       195 SON              (max +6)
 Antitoxin, Cholinesterase (Drug):  195 SON              (max +3)
 Drill:                             180 SON              (max +6)
 Mech tool:                         250 SON              (max +3)
 Tech tool:                         210 SON              (max +3)
 Short weapon: 'Falcata':           100 SON              (max +3)
 Mid weapon: 'Spathae':             180 SON              (max +6)
 Long weapon: 'Bastard':              0 SON              (max +3)
 Two-handed weapon: 'Claymore':       0 SON              (max +19)
 Staff weapon:                      290 SON              (max +1)
 Pistol:                             85 SON              (max +6)
 Revolver:                          180 SON              (max +6)
 Rifle:                             210 SON              (max +3)
 Carbine:                           210 SON              (max +5)
 Machine gun:                       250 SON              (max +1)
 Armour:                            180 SON              (max +8)
 Gun reload semi-automization:        0 SON              (max +3)
 Gun reload automization:             0 SON              (max +2)

